timesteps,episode_reward,episode_length
94959,-20.175817,69.0
95004,-13.072573,45.0
95052,-12.825795,48.0
95252,-47.911626,200.0
95291,-9.246066,39.0
95333,-12.777083,42.0
95377,-12.945322,44.0
95420,-10.189741,43.0
95580,-34.164498,160.0
95721,-32.902706,141.0
95765,-14.116477,44.0
95965,-48.506243,200.0
96005,-11.91901,40.0
96047,-11.453445,42.0
96247,-50.081624,200.0
96292,-14.697849,45.0
96343,-16.718679,51.0
96387,-13.226807,44.0
96439,-16.710879,52.0
96484,-10.28607,45.0
96684,-51.661926,200.0
96842,-35.269531,158.0
97042,-45.726866,200.0
97082,-12.671005,40.0
97171,-22.976906,89.0
97269,-25.137627,98.0
97312,-13.707724,43.0
97512,-48.579548,200.0
97558,-12.612749,46.0
97636,-21.722267,78.0
97836,-47.23093,200.0
97875,-11.235341,39.0
97917,-10.586499,42.0
98077,-31.590094,160.0
98271,-32.236564,194.0
98377,-23.833889,106.0
98428,-16.346188,51.0
98473,-15.347176,45.0
98517,-14.861119,44.0
98562,-10.050116,45.0
98734,-39.522226,172.0
98777,-12.072009,43.0
98908,-32.207869,131.0
98950,-9.725778,42.0
99105,-27.058053,155.0
99148,-13.089102,43.0
99198,-16.636947,50.0
99240,-13.303497,42.0
99285,-10.500294,45.0
99393,-20.790347,108.0
99495,-21.134677,102.0
99544,-13.791251,49.0
99585,-11.300996,41.0
99689,-18.821322,104.0
99738,-10.125052,49.0
99844,-23.171601,106.0
99896,-14.124108,52.0
99937,-9.014037,41.0
100038,-24.273605,101.0
100083,-11.000032,45.0
100221,-29.665318,138.0
100307,-23.069813,86.0
100354,-12.721234,47.0
100476,-26.363115,122.0
100630,-30.040366,154.0
100673,-9.671528,43.0
100718,-12.144571,45.0
100760,-11.218029,42.0
100802,-8.266169,42.0
101002,-48.137618,200.0
101047,-10.231499,45.0
101127,-14.765647,80.0
101177,-16.396779,50.0
101217,-10.775037,40.0
101260,-14.470643,43.0
101303,-9.725576,43.0
101485,-38.712419,182.0
101597,-30.141835,112.0
101753,-29.093269,156.0
101796,-13.73682,43.0
101848,-13.369043,52.0
101888,-12.768103,40.0
101937,-17.553923,49.0
101979,-13.797472,42.0
102107,-29.025003,128.0
102270,-29.279851,163.0
102352,-18.3973,82.0
102406,-19.357061,54.0
102445,-8.589867,39.0
102550,-26.677891,105.0
102592,-9.760578,42.0
102792,-42.526341,200.0
102837,-14.201023,45.0
102952,-29.556644,115.0
103001,-14.330177,49.0
103098,-26.198106,97.0
103159,-16.977283,61.0
103208,-15.113142,49.0
103298,-23.929806,90.0
103412,-26.295311,114.0
103461,-11.844004,49.0
103508,-10.359824,47.0
103554,-14.512116,46.0
103605,-14.044906,51.0
103743,-22.450191,138.0
103790,-15.947172,47.0
103835,-13.254089,45.0
103887,-15.451144,52.0
104087,-44.017591,200.0
104138,-16.890559,51.0
104178,-10.723268,40.0
104218,-12.455706,40.0
104261,-12.275747,43.0
104316,-14.789917,55.0
104355,-10.553365,39.0
104399,-11.301656,44.0
104512,-21.066535,113.0
104579,-20.010389,67.0
104621,-11.969539,42.0
104730,-20.612288,109.0
104778,-14.244837,48.0
104820,-11.038023,42.0
104868,-12.16669,48.0
104964,-20.097026,96.0
105007,-9.831971,43.0
105056,-13.836848,49.0
105101,-13.611082,45.0
105142,-10.065262,41.0
105183,-8.760391,41.0
105220,-9.533215,37.0
105265,-14.008233,45.0
105423,-30.25421,158.0
105466,-10.505645,43.0
105509,-10.342923,43.0
105554,-14.920788,45.0
105674,-22.42262,120.0
105720,-12.219336,46.0
105758,-9.578225,38.0
105894,-25.029399,136.0
105937,-13.469497,43.0
106029,-20.590339,92.0
106075,-15.806808,46.0
106187,-22.228161,112.0
106236,-9.882987,49.0
106280,-13.225911,44.0
106322,-11.686003,42.0
106369,-11.795634,47.0
106417,-11.318667,48.0
106457,-9.395106,40.0
106498,-10.362928,41.0
106542,-11.351706,44.0
106580,-6.916992,38.0
106618,-10.078688,38.0
106658,-9.239447,40.0
106858,-49.886762,200.0
106896,-9.764671,38.0
107096,-47.849999,200.0
107136,-10.973533,40.0
107177,-12.831374,41.0
107214,-7.729096,37.0
107256,-7.449303,42.0
107299,-8.966917,43.0
107343,-15.033283,44.0
107406,-19.805425,63.0
107446,-12.762648,40.0
107488,-10.410794,42.0
107529,-14.109428,41.0
107569,-8.639028,40.0
107615,-11.292618,46.0
107664,-13.7188,49.0
107754,-15.528509,90.0
107878,-28.985106,124.0
107919,-8.462832,41.0
108119,-51.461099,200.0
108161,-10.802893,42.0
108202,-9.942497,41.0
108247,-8.694599,45.0
108345,-21.912042,98.0
108443,-22.360986,98.0
108522,-20.897845,79.0
108566,-13.700981,44.0
108605,-11.381776,39.0
108651,-13.5631,46.0
108738,-20.147211,87.0
108784,-11.243636,46.0
108826,-13.73554,42.0
108997,-32.393171,171.0
109039,-9.883871,42.0
109080,-9.117713,41.0
109119,-9.072605,39.0
109160,-11.985229,41.0
109206,-11.814236,46.0
109316,-22.219976,110.0
109362,-10.947284,46.0
109408,-13.46863,46.0
109498,-20.863068,90.0
109542,-13.392339,44.0
109582,-11.908903,40.0
109743,-37.511337,161.0
109792,-13.442039,49.0
109828,-6.491335,36.0
109936,-23.208092,108.0
109975,-12.225038,39.0
110081,-25.846095,106.0
110123,-12.031323,42.0
110166,-11.901643,43.0
110251,-15.823273,85.0
110295,-9.094386,44.0
110333,-9.95253,38.0
110452,-24.7259,119.0
110493,-10.632521,41.0
110585,-23.569376,92.0
110624,-9.937875,39.0
110667,-8.148634,43.0
110709,-13.237862,42.0
110806,-26.592063,97.0
110849,-12.898409,43.0
110889,-10.595848,40.0
110986,-22.08219,97.0
111029,-13.040881,43.0
111066,-9.362267,37.0
111158,-25.191965,92.0
111264,-26.541765,106.0
111418,-31.860284,154.0
111478,-10.67476,60.0
111519,-10.949723,41.0
111597,-21.246199,78.0
111645,-11.53389,48.0
111680,-7.680412,35.0
111724,-13.806556,44.0
111773,-14.273568,49.0
111814,-11.06057,41.0
111864,-12.219825,50.0
111903,-10.510108,39.0
111945,-7.625866,42.0
112054,-31.2407,109.0
112092,-10.352129,38.0
112134,-10.919471,42.0
112175,-10.727227,41.0
112214,-9.458832,39.0
112256,-11.535541,42.0
112294,-8.117875,38.0
112382,-23.499698,88.0
112423,-9.000665,41.0
112464,-9.46597,41.0
112516,-17.581962,52.0
112556,-8.872487,40.0
112594,-10.096214,38.0
112638,-11.555738,44.0
112689,-13.632119,51.0
112729,-9.688814,40.0
112767,-9.119469,38.0
