timesteps,episode_reward,episode_length,success
95924,-78.97634658248839,200,0
95963,-14.80838177709349,39,1
96163,-76.80026332428085,200,0
96363,-68.00069400913512,200,0
96397,-7.7263313039966075,34,1
96594,-49.99560482781031,197,1
96626,-7.856199972747401,32,1
96826,-62.28998696516716,200,0
97026,-62.88731596244849,200,0
97060,-8.806107986302507,34,1
97193,-33.64093562561871,133,1
97389,-53.435337235392,196,1
97589,-62.58988175212965,200,0
97789,-71.59392474633866,200,0
97989,-72.37252978839845,200,0
98149,-45.80982711638974,160,1
98181,-8.507130347269289,32,1
98217,-12.479493775422451,36,1
98384,-46.235667216780584,167,1
98495,-29.065515852013803,111,1
98695,-52.011220937760704,200,0
98895,-54.46322310177367,200,0
99095,-74.43127275149257,200,0
99295,-65.64135468113518,200,0
99495,-74.0147191189213,200,0
99527,-7.997312579873531,32,1
99727,-66.97461381499089,200,0
99758,-6.546014584272779,31,1
99787,-6.2315764418959905,29,1
99987,-60.5363611788912,200,0
100187,-59.178552511493116,200,0
100387,-61.26714177548133,200,0
100422,-11.657857489630972,35,1
100457,-10.135459261371814,35,1
100493,-9.885844600308966,36,1
100520,-4.596600314563734,27,1
100696,-51.76145256920291,176,1
100730,-8.015630408648532,34,1
100930,-60.06196990325371,200,0
101130,-72.53357721926032,200,0
101168,-12.490225108326937,38,1
101368,-56.38820287718854,200,0
101568,-69.36070873928863,200,0
101605,-12.249078830492543,37,1
101760,-40.39644393282168,155,1
101878,-28.239359037004732,118,1
101941,-16.141528036289632,63,1
102141,-71.08802602690564,200,0
102341,-61.98174183183805,200,0
102374,-8.25949401314691,33,1
102527,-42.36209065574267,153,1
102603,-18.32015575726154,76,1
102803,-62.26723457990915,200,0
103003,-66.58509341171074,200,0
103203,-51.87436068329636,200,0
103325,-32.95761349415761,122,1
103525,-73.84873108986505,200,0
103725,-69.5431252977216,200,0
103787,-18.138168510778648,62,1
103937,-36.12009664787267,150,1
104137,-74.5576217882253,200,0
104267,-31.87909786073865,130,1
104298,-6.641081147533409,31,1
104419,-36.89514145520801,121,1
104453,-7.985575773333464,34,1
104653,-57.826200990635755,200,0
104837,-39.88404113477081,184,1
105037,-54.305973417380876,200,0
105237,-60.65040280165669,200,0
105273,-9.240175426893787,36,1
105473,-53.849907081301595,200,0
105502,-6.341487040906115,29,1
105532,-7.189733076084684,30,1
105576,-15.845043627207113,44,1
105776,-58.32422744279603,200,0
105877,-25.257202617275425,101,1
105908,-7.870785364326398,31,1
105938,-6.363125953801374,30,1
106138,-67.94744852764694,200,0
106264,-35.58016357959845,126,1
106299,-9.725694824516088,35,1
106499,-66.07997416114078,200,0
106699,-62.40267509650123,200,0
106731,-7.524873920403039,32,1
106764,-8.014643354840537,33,1
106964,-61.06933745860147,200,0
106994,-6.488441235248814,30,1
107093,-22.87553467154271,99,1
107127,-11.100150183456346,34,1
107160,-8.04092749632119,33,1
107288,-40.160217301540065,128,1
107488,-77.76114854680283,200,0
107688,-55.80744474976587,200,0
107888,-62.84170569911653,200,0
107924,-9.171256401650691,36,1
108032,-24.86210305616339,108,1
108232,-60.49540551498613,200,0
108262,-6.146733919452677,30,1
108295,-9.75450274192721,33,1
108456,-38.335612406531254,161,1
108656,-69.7189118614293,200,0
108856,-62.76248097527908,200,0
109056,-62.78677904323014,200,0
109173,-35.102045447791035,117,1
109373,-67.56403529101766,200,0
109503,-33.57551721415629,130,1
109589,-26.319708783678138,86,1
109789,-70.7373828183759,200,0
109831,-11.126017285788249,42,1
110031,-63.65558293816138,200,0
110070,-10.677427382779381,39,1
110100,-6.9494777439042,30,1
110129,-5.736863978662091,29,1
110167,-13.78681617372887,38,1
110367,-63.89238635738522,200,0
110406,-11.13417625162314,39,1
110439,-9.228471982943653,33,1
110597,-39.810061127714455,158,1
110632,-10.693401433770022,35,1
110670,-12.540576200483907,38,1
110770,-28.620832362609566,100,1
110893,-35.074524743188675,123,1
111093,-60.29956813300343,200,0
111125,-7.307645848498918,32,1
111174,-17.287268719276895,49,1
111374,-63.48562131156773,200,0
111502,-38.64119522623913,128,1
111702,-63.465994034389865,200,0
111811,-26.54325186384449,109,1
111854,-12.753864758301546,43,1
111991,-39.767220579784954,137,1
112191,-80.12124808694725,200,0
112225,-10.063710297584661,34,1
112425,-66.66090131936487,200,0
112458,-9.760736032767532,33,1
112658,-70.29447206453831,200,0
112697,-12.900829133114348,39,1
112897,-66.54292966035257,200,0
113054,-38.859769972394545,157,1
113087,-8.529000878809377,33,1
113121,-9.551511895160452,34,1
113156,-12.13799991739047,35,1
113303,-42.87020724897863,147,1
113503,-58.85058443440098,200,0
113535,-8.503403096921746,32,1
113735,-59.8209305294309,200,0
113935,-54.58939686936211,200,0
113970,-9.589162787447878,35,1
114084,-32.5623196508433,114,1
114113,-6.003141774211233,29,1
114151,-12.862073167033556,38,1
114315,-44.99074218112563,164,1
114435,-30.834621092106765,120,1
114585,-43.477483233052,150,1
114785,-60.29704721595577,200,0
114902,-32.50906726296316,117,1
115102,-62.08208465308956,200,0
115134,-7.71184960134725,32,1
115166,-9.886026735673374,32,1
115203,-11.30904667863076,37,1
115232,-4.9896038664571645,29,1
115432,-66.13784249874996,200,0
115558,-29.50262254465082,126,1
115596,-9.293266544585213,38,1
115627,-6.958062918024776,31,1
115662,-8.768510342745765,35,1
115862,-64.52072714061111,200,0
115891,-6.24024248213642,29,1
115920,-5.102244941608195,29,1
115958,-9.528018139757492,38,1
116071,-31.688297242348174,113,1
116224,-38.85494694362128,153,1
116258,-11.280609164804334,34,1
116288,-7.598926138802408,30,1
116488,-69.14592833150768,200,0
116521,-7.466290741202963,33,1
116559,-11.858577074231185,38,1
116759,-54.39375648228336,200,0
116959,-51.88282970535885,200,0
117159,-62.14602494846264,200,0
117359,-60.83565651508658,200,0
117557,-46.39916703597051,198,1
117587,-4.909857972389798,30,1
117628,-12.02048852613945,41,1
117828,-56.17104898180149,200,0
117977,-38.680377710297826,149,1
118177,-56.47996836744867,200,0
118211,-9.73675224670533,34,1
118327,-36.50423640857943,116,1
118361,-6.641836400157144,34,1
118517,-39.28293162480543,156,1
118553,-10.961132156839163,36,1
118719,-46.808242048229715,166,1
118750,-6.710115978665312,31,1
118790,-13.428776254214776,40,1
118819,-5.387056495347707,29,1
118926,-30.873725901424326,107,1
119013,-24.545267316055643,87,1
119048,-9.060433685596053,35,1
119080,-9.034312023966473,32,1
119109,-4.54737050562451,29,1
119149,-12.10623205281176,40,1
119349,-68.25099338973946,200,0
119549,-54.685947356307686,200,0
119583,-9.069367247391629,34,1
119704,-28.59233425558913,121,1
119904,-61.587751699272914,200,0
119936,-8.499103542134797,32,1
119970,-10.29272057617391,34,1
120111,-39.83600002457548,141,1
120311,-63.55386584299636,200,0
120511,-59.002583497148656,200,0
120654,-37.16794376745969,143,1
120825,-47.795248857496105,171,1
120858,-10.355509112060963,33,1
120956,-26.597572331408962,98,1
120984,-4.099737885646327,28,1
121016,-8.70129907121253,32,1
